SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
15,A V Hospital,SOUTH,Karnataka,Bengaluru,"9, Patalamma Temple Street Basavanagudi Bangalore 560004 Dist Bangalore Karnataka",Dr. R SK Murthy - Medical Director,STD(080) Tel: 26573802 26573803 26571168 Fax: 26574556,560004.0,Basavanagudi
16,A-Care Orthopedic And General Hospital,WEST,Maharashtra,Thane,"G-1, Giriraj Tower, Sai Baba Nagar, Mira Bhayandar Highway, Thane Dist: Thane, State: Maharashtra - 401107",Dr. Vivek Kumar Dwivedi - MD,"STD(022) Tel: 28123621, Fax:28105634, Mob: 9987677200",401107.0,Mira Bhayandar Highway
17,A. G Padmavatis Hospital,SOUTH,Pondicherry,Puducherry,"R.S.No.127/1a, Villiyanoor Main Road Arumbarthapuram Pondicherry 605110 Dist Pondicherry Pondicherry",Mr. V Mohandoss - General Manager,STD(0413) Tel: 2295500 2292229 Fax: 2291144,605110.0,Arumbarthapuram
18,A.P. Healthcare and Trauma Centre,NORTH,Punjab,Patiala,"Chhoti Baradari, behind phull cinema, Patiala - 147001; Dist Patiala; State: Punjab",Dr Arun Bhandari - Propriter,STD(0175) Tel: 2220255 Fax: 0,147001.0,Bhadson Road
19,A.V.M. Hospital,SOUTH,Tamil Nadu,Tuticorin,"135, Palayamkottai Road, Tuticorin Tuticorin 628003 Dist Tuticorin Tamil Nadu",Dr. M.V. Lakshman - Managing Director,STD(0461) Tel: 2320733 2325461 Fax: 23225438,628003.0,Palayamkottai Road
20,Aadhar Health Institute (A unit of VLCOM Healthcare Pvt. Ltd. ),NORTH,Haryana,Hisar,"Tosham Road, Near South Bypass Crossing, Hisar, Dist:Hisar, State:Haryana-125005",Dr.Rohit,STD (01662) Tel: 245733 246733 Fax: 0 Mob: 0,125005.0,Near South Bypass Crossing
21,Aadhar Hospital,WEST,Maharashtra,Thane,"Sanskar Tower, 1st Floor, Dharmveer Marg, PaNohpakhadi, Thane 400602 Dist Thane Maharashtra",Sunil Choudhary,STD (022) Tel: 25432233 25443778 Fax: 25443778,400602.0,Panchpakhadi
22,Aadhar Hospital Multispeciality & ICU,WEST,Maharashtra,Pune,"Old Pune-Mumbai highway, Dehu Road, Pune-412101 Dist: Pune State: Maharashtra",Dr. Ganesh Raut - Partner,STD (020) Tel: 27672833 Fax: 0 Mob: 9881818129,412101.0,Dehu Road
23,Aadhar Multispecality Hospital & Icu,WEST,Maharashtra,Panvel,"7A,1St Floor, Gurusharanam Complex, Visharali Naka, Market Yard Road, Old Panvel -410206; Dist: Raigarh; State: Maharashtra",0,Std (0) Tel: 0 Fax: 0 Mob: 8108875110,410206.0,Visharali Naka
24,Aaditya Hospital,SOUTH,Telangana,Hyderabad,"1-24-146, Indira Nagar Colony Venkatapuram, Alwal Secunderabad 500015 Dist Rangareddy Telangana",Dr.A.Kiran - Managing Director,STD (040) 65766663 65766664 Fax:27969048,500015.0,Indira Nagar Colony
25,Aahna Eye Care Hospital,WEST,Gujarat,Ahmedabad,"Nanakram Super Market, Nr. H.H. Patel School, Ramnagar, Sabarmati, Ahmedabad - 380005; Dist: Ahmedabad; State: Gujarat",..,Std(0) Tel: 0 Fax: 0 Mob: 9879025876,380005.0,Sabarmati
26,Aakanksha Maternity & Nursing Home,WEST,Maharashtra,Mumbai,"No:301/401/501, Navkar Bhavan, CTS 2532-1, Near Ram Mandir, Road No 7, Daulat Nagar, Borivali East, City: Mumbai, Dist: Mumbai, State: Maharashtra - 400066",...,STD (022) Tel: 28941947 Fax: 0 Mob: 9619028832,400066.0,Borivali East
27,Aakar Asha Hospital (A Unit of N.Swain Memorial Trust),SOUTH,Telangana,Hyderabad,"Plot No:1072 To 1075, Sivananda Rehab Home Complex, Kukatpally Hyderabad 500072 Dist Rangareddy Telangana",Dr. Bharatendu Swain - Director,STD (040) 23050961 23050960 Fax:23050961,500072.0,Kukatpally
28,Aakash Health Care,NORTH,Delhi,New Delhi,"Hospital Plot, Road No:201, Sector-3, Dwarka, New Delhi - 110075; Dist: New Delhi; State: Delhi",Dr. Aashish Chaudhry - Managing Director,STD (011) 28088888 Fax:25301730,110075.0,Dwarka
29,Aakash Hospital,SOUTH,Tamil Nadu,Chennai,393/1 T.H.ROAD THIRUVELLORE THIRUVOTTRIYUR TAMIL NADU,Dr. Selvarajkumar A,4425730099,600019.0,T H Road
30,Aakash Hospital,NORTH,Delhi,New Delhi,90/43 Malviya Nagar New Delhi 110017 Dist New Delhi Delhi,Dr. Ajit Gaba - Medical Director,STD(011) Tel: 41830822 41830844 Fax: 26687142,110017.0,Malviya Nagar
31,Aakash Hospital And Diagnostics,NORTH,Himachal Pradesh,Nalagarh,"Opp. Radha Swami Satsang Bhawan, Pinjore Road, Nalagarh - 174101; Dist: Solan; State : Himachal Pradesh",Dr. Bhupesh Gupta - Doctor,Std (01795) Tel: 221831 Fax:0,174101.0,Pinjore Road
32,Aaloey Phera,EAST,West Bengal,Paschim Medinipore,"72/65, Thanapukurpar, Hatabari, Contai, Purba, Medinipur - 721401; Dist: Purab Medinipur; State: West Bengal",SWARUP KUMAR MITRA,7980888622,721401.0,Hatabari
33,Aalok Orthocare,WEST,Gujarat,Ahmedabad,"Opp. Hotel Fortunelandmark, Usmanpura Ahmedabad 380013 Dist Ahmedabad Gujarat",Dr.Mukesh Shah - Propriter,STD (079) 27558383 27558989 Fax:27561507,380013.0,Usmanpura
34,AANCH (Allergy Asthma & Chest Hospital),NORTH,Rajasthan,Jaipur,"K-32, Income Tax Colony, S,L.Marg, Near Durgapura Bus Stand, Jaipur, Dist: Jaipur, State: Rajasthan - 302018",...,STD (0141) Tel: 2550883 Fax: 0 Mob: 9950808583,302018.0,SL Marg
35,AAR PEE Hospital,NORTH,Haryana,Faridabad,1276 Sector-28 Faridabad Faridabad 121008 Dist Faridabad Haryana,Dr. Promila Gupta -,STD(0129) Tel: 4044276 Fax: 4100092,121008.0,Sector-28
36,Aaradhya Multi Speciality Hospital,NORTH,Uttar Pradesh,Ghaziabad,"C-89, PaNohsheel ENolave, Opp.Koyal ENolave (LONI Road) Bhopura 201005 Dist Ghaziabad Uttar Pradesh",Dr.A.K.Chauhan - Director,STD (0120) 6524444,201005.0,Loni Road
37,Aarna Super Speciality Hospital,WEST,Gujarat,Ahmedabad,"Uro Cure House, Opp. Suvidha Shopping Centre, . Parimal Under Bridge, Paldi Ahmedabad 380007 Dist Ahmedabad Gujarat",Dr.Rohit Joshi - Managing Director,STD (079) 40108116,380007.0,Paldi
38,Aarogya Hospital,NORTH,Chhattisgarh,Raipur,"Opp. Gold's Gym, Shankar Nagar, Raipur 492001 Dist Raipur Chhattisgarh",Dr. Rishi Agrawal,STD(0771) Tel: 4044115 4265115 Fax: 4281223,492001.0,Shankar Nagar
39,AAROGYA HOSPITAL,NORTH,Delhi,New Delhi,"32,CHITRA VIHAR NEAR LAXMI NAGAR DELHI 110092 North",Dr. Umesh Verma - Medical Director,STD(011) Tel: 22448008 Fax: 22448008,110092.0,Vikas Marg
40,Aarogya Hospital,NORTH,Uttar Pradesh,Ghaziabad,"Nh-1, Sector-6, Vaishali, Ghaziabad 201010 Dist Ghaziabad Uttar Pradesh","Dr Umesh Varma CEO, Mr Sanoj manager",STD(0120) Tel: 41112222 Fax: 4300073,201010.0,Vaishali
41,Aarogya Hospital,NORTH,Haryana,Hisar,"Urban Estate-II, Opp Vishwas School Near LIC Office Hisar 125001 Dist Hisar Haryana",Dr Amit Bhutani - MD,STD : 01662 Ph No : 245450,125001.0,Delhi Road
42,Aarogya Multi Speciality Hospital & Trauma Centre,WEST,Maharashtra,Thane,"Herambh Heights, Old Mumbai Pune Highway, Kharegaon Naka, Kalwa(w), Thane 400605 Dist Thane Maharashtra",Dr. Vinod Tamrarar - Doctor,STD (079) 66190299 Fax:66190201,400605.0,Herambh Heights
43,Aarogyadham Multispeciality Hospital,WEST,Maharashtra,Thane,"Gr. Floor, Janki Tower, Mumbai-Pune Road Kalwa 400605 Dist Thane Maharashtra",Dr.Vijay Sevak - Managing Director,STD (022) 25450051 Fax:25450051,400605.0,Pune Road
44,Aarogyam Institute Of Medical Sciences,WEST,Maharashtra,Amravati,Matrumangalya Maternity Hospital Walcut Compound Amravati 444601 Dist Amravati Maharashtra,Dr. Hemant Murkey - Director,STD(0721) Tel: 2575792 2575793 2672139 Fax: 2579045,444601.0,Walcut Compound
45,Aarogyam Multi Speciality Hospital & ICCU,WEST,Maharashtra,Thane,"1St Floor, Sripat Smrurti Building, Opp. Bank Baroda, Star Colony, Manpada Road, Dombivali E 421201 Dist Thane Maharashtra",Dr. Sachin Yadav,STD (0251) 2871287,421201.0,Dombivli (E)
46,Aarogyam Multispeciality Hospital,WEST,Maharashtra,Thane,"Renuka Building, Opp.Mangala High School, Thane (E) Kopri Thane 400603 Dist Thane Maharashtra",Dr.Shalvi Galkwad - Director,STD (022) 25323232 65110086,400603.0,Thane (E)
47,Aarogyam Multispeciality Hospital,WEST,Maharashtra,Pune,"Opp Marathi Shala Ranubai Mala, Chakan-Talegaon Road, Chakan, City: Pune, Dist: Pune, State: Maharashtra",Dr Sagar Patil,STD (0) Tel: 0 Fax: 0 Mob: 7710035921,410501.0,Chakan
48,Aarogyam Speciality Hospital,WEST,Gujarat,Ahmedabad,"Soham Complex, Opp. Ganesh Tower Soham Complex, Navrangapura Ahmedabad 380014 Dist: Ahmedabad Gujarat",Dr. Ketan Shukla -,STD(079) Tel: 26463535 32930122 Fax: 26406644,380014.0,Navrangapura
49,Aarogyam Women & Children Care Hospital,WEST,Maharashtra,AURANGABAD,"CIDCO No.9, Behind Jaiswal Hall, oppo sarawati bank,T.V. Centre road, Aurangabad, Dist: Aurangabad, State: Maharashtra-431003",Dr.Shamalee Mistry-Chairman,STD(0240)Tel:2382054,431003.0,Behind Jaiswal Hall
50,Aarthi Hospital,SOUTH,Tamil Nadu,Kovilpatti,# 60 Santhai Pettai Street Kovilpatti 628502 Dist Tirunelveli Tamil Nadu,Dr. R Gomathi - Proprietor,STD(04632) Tel: 221346 221347 221348 Fax: 221008,628502.0,Santhai pettai street
51,Aarti Eye,NORTH,Punjab,Ludhiana,"57-E, Tagore Nagar, City: Ludhiana, Dist: Ludhiana, State: Punjab - 141001",...,STD (0161) Tel: 2300689 Fax: 0 Mob: 8427007800,141001.0,Tagore Nagar
52,Aarush IVF & Endoscopy Centre,WEST,Maharashtra,Mumbai,"Prathmesh Harmony, Gautam Buddha Lane, Opp:Orlem Church, Off: Marve Road, Malad(W), City: Mumbai, Dist: Mumbai, State: Maharashtra-400064",0,"STD(0) Tel:28060051, Fax:0, Mob: 9869910245",400064.0,Opp:Orlem Church
53,Aarvy Hospital,NORTH,Haryana,Gurugram,"530/18, Civil Line Gurgaon 122001 Dist Gurgaon Haryana","Dr Vikram Singh,M.D.","STD(0124) Ph:4222270, 42222474,Fax:4222274,Mobile:9810843636",122001.0,Civil Line
54,Aasha Hospital,SOUTH,Andhra Pradesh,Anantapur,"D.No:2/133, Yellanur Road, Beside Vijayalakshmi Theatre, Tdipatri, Dist: Ananthapur, State: Andhra Pradesh-515411",K. Ramana Kumar - Manager,"STD(08558) Tel: 226688, Fax:0, Mob: 9959846422",515411.0,Yellanur Road
55,Aasha Hospitals,SOUTH,Andhra Pradesh,Anantapur,"7/201, Court Road Anantapur 515001 Dist Anantapur Andhra Pradesh",Dr. G V Somayajulu - Managing Director,STD(08554) Tel: 227194 237818 Fax: 279116,515001.0,Court Road
56,Aasha Multi Speciality Hospital,WEST,Maharashtra,Thane,"1Cst F Oor L,Rajlaxmi Complex,Thane Bhiwandi Road ,Opp Jai Mata Di Compound Kalher, Thane - 421305; Dist: Thane; State: Maharasthra",Mr. Vilas Waje - Admin,Std(0) Tel: 0 Fax: 0 Mob : 9321606061,421305.0,Kalher
57,Aashirvad Super Speciality Children Hospital,WEST,Gujarat,Vadodara,"D-2,Sarang Duplex, Sindhwani Mata Road,Near.Ward Office No 4, Partapnagar,Vadodara, Dist:Vadodara, State: Gujarat",Ms.Anita,"Tel ( 0265) 2635600, 2638300",390004.0,Near.Ward Office No 4
58,Aashka MultispecialityHospital,WEST,Gujarat,Gandhinagar,"Nr NID and Dhirubhai Ambani IICT campus ,on 200 Feet Road Connecting Mahatma Mandir to Gift City, Gandhinagar - 382421; Dist: Gandhinagar; State: Gujarat",..,STD(079) Tel: 29750750 Fax: 0,382421.0,Mahatama Mandir To Gift City Road
59,Aashritha Hospital,SOUTH,Telangana,Hyderabad,"3-4-100/2, M.V.Ramarao Complex, Opp.Sai Towers, Mallapur Main Road, Hyderabad 500076 Dist Rangareddy Telangana",Dr M Ram Mohan Rao - Propriter,STD (040) 27159833 Fax:27153515 Mobile:9666691520,500076.0,Mallapur Main Road
60,Aashtha Critical Care And Avatar Mehar Baba Hospital,WEST,Maharashtra,Nagpur,"Plot No:- 86, Opp Balaji Sathagruha, Suyog Nagar, Nagpur 440015 Dist Nagpur Maharashtra",Dr. Piyush Shinde,STD (0712) Tel: 2789943 Fax: 6467134,440015.0,Suyog Nagar
61,Aastha Eye Care,WEST,Gujarat,Ahmedabad,"A 205-206 Orchid Centre Opp Safal Parisar-1 South Bopal Ahmedabad, Dist: Ahmedabad, State: Gujarat-380058",0,0,380058.0,Opp Safal Parisar-1
62,Aastha Eye Centre,NORTH,Haryana,Faridabad,"5-R/5, NIT",..,Std (0129) Tel: 2423378 Fax: 2425555,121001.0,Faridabad
63,Aastha Health Care,WEST,Maharashtra,Mumbai,"f Lbs Marg, Mulund Colony, Opp. Chhedda Petrol Pump, Mulund West, Mumbai",0,,400082.0,Mulund (W)
64,Aastha Hospital,NORTH,Delhi,New Delhi,"L-2/50, New Mahavir Nagar, Opp.Kangra Niketan, Outer Ring Road, New Delhi 110018 Dist Delhi Delhi",Dr Sanjay K Jain,STD (011) Tel: 25993047 25995363 Fax: 45058273,110018.0,Outer Ring Road
65,Aastha Hospital,WEST,Maharashtra,Mumbai,"65, Balasinor Society, S V Road, Opp. Fire Brigade, Kandivali [W], Mumbai 400067 Dist Mumbai Maharashtra",Mrs.Muskan,STD (022) 28010700 28010800,400067.0,Kandivali[W]
66,AASTHA KIDNEY & SUPER SPECIALITY HOSPITAL,NORTH,Punjab,Ludhiana,"B-20, 1197/1, KRISHNA NAGAR, CIVIL LINES, LUDHIANA PUNJAB 141001 North",..,Std(0161) Tel: 4646004 Fax: 0 Mob: 9872777573,141001.0,Civil Lines
67,Aastha Lok Hospital Pvt Ltd,EAST,Bihar,Patna,"N/4, Pressor Colony, Near Kendriya Vidyalaya, Kankarbagh Kankarbagh 800020 Dist Patna Bihar",Dr Mahesh Prasad,STD (011) Tel: 6061001 6061004 Fax: 2353469,800020.0,Kankarbagh
68,Aastha Orthopaedic and Spine Hospital,WEST,Gujarat,Ahmedabad,"C-101 Sweni Apt. Opp Ronak Park Nr Akhbarnagar Circle , Nava Vadaj, City: Ahmedabad, Dist: Ahmedabad, State: Gujarat - 380013",TPA Coordinator,STD (079) Tel: 27642222 Fax: 0 Mob: 9825243947,380013.0,Nava Vadaj
69,Aastha Superspeciality Eye Hospital,SOUTH,Karnataka,Bengaluru,"No 590, 6th Block, II Phase, BSK III Stage, Bengaluru - 560085; Dist: Bangalore; State: Karnataka",Dr Shilpa - Director,Std (080) Tel: 26426558 Fax: 0,560085.0,BSK III Stage
70,Aastitva Medical Centre,NORTH,Uttar Pradesh,Noida,"Shiv Om Market Chaura, Raghunathpur, Sector-22, Noida 201301 Dist Gautam Budh Nagar Uttar Pradesh",Dr Rashmi Gupta,STD (0120) Tel: 4554222 Fax: 4554222,201301.0,Sector-22
71,Aaxis Hospitals,SOUTH,Karnataka,Bengaluru,"Bellathur Village, Bidarahalli Hobili, Whitefield Main Road, Bangalore, Dist: Bangalore, State: Karnataka-560067",...,"STD (080) Tel: 28450404, 28450606",560067.0,Whitefield Main Road
72,Aaxis Super Speciality Hospital,SOUTH,Karnataka,Bengaluru,"3rd Main Road, Old Extension, K.R.Puram, Bangalore-36",Dr.Rajanna S.P - Medical Director,STD (080) Tel: 25617799 25618899 Fax: 25615599,560036.0,KR Puram
73,Aayug Multispecialty Hospital,SOUTH,Karnataka,Bengaluru,"#477,1 Main, B Block, Aecs Layout, Kundalahalli, Bangalore Bangalorekarnataka 560037",Dr Gopala Krishnan- Managing Director,"STD(080) Tel:: 42005277, 6589427 Fax:42050461",560037.0,Kundalahalli
74,Aayush Hospital,WEST,Maharashtra,Thane,"E2, Radha Nagar, Khadakpada , Kalyan West - 421301; Dist: Thane; State: Maharashtra",TPA Coordinator,STD : 0251-2231160 2231161 FAX : 2231162,421301.0,Khadarpada
75,Aayush NRI LEPL Healthcare Pvt.Ltd,SOUTH,Andhra Pradesh,Vijayawada,"D.No.48-13-3 & 3a, Opp. Siddhartha Medical College, Ring Road, Sri Ramachandra Nagar Vijayawada 520008 Dist Krishna Andhra Pradesh",P Subba Rao,STD(0866) Tel: 2541414 Fax: 2541212,520008.0,Sri Ramachandra Nagar
76,Aayushman Hospital,SOUTH,Andhra Pradesh,Visakhapatnam,"14-38-1, Opp: American Hospital, Z.P. Junction, Visakhapatnam, Dist: Visakhapatnam, State: Andhra Pradesh-530002",Dr.Swamy-MD,"STD(0891) Tel:2558888, Fax:(0), Mob:8309302296",530002.0,Opp: American Hospital
77,ABC Hospitals,SOUTH,Andhra Pradesh,Visakhapatnam,"16-1-13, Maharanipeta, Maharanipeta, 530002 Dist Visakhapatnam Andhra Pradesh",Dr PV Ramesh,STD (0891) Tel: 6646056 6646057 Fax: 6646058,530002.0,Maharani peta
78,Abha Nursing Home Pvt Ltd,NORTH,Uttar Pradesh,Kanpur,10/503 B Allenganj Allenganj Kanpur 208001 Dist Kanpur Uttar Pradesh,Dr. R Prathiba - Director,STD(0512) Tel: 2553127 2559528 2214747 Fax: 2309567,208001.0,Tilak Nagar
79,Abhay Medical Hospital,WEST,Gujarat,Mehsana,"Opp:Dudh Sagar Dairy, Near Old Taluka Police Station, Mehsana - 384002; Dist: Mehsana; State: Gujarat",Dr. Ketan Chaudhary - MBBS,Std (02762) Tel: 244324 Fax: 0,384002.0,Taluka Police Station
80,Abhaya BBC New Born & Childrens Hospital,SOUTH,Telangana,Hyderabad,"Hindi Maha Vidyalaya Complex, Vidyanagar, New Nallakunta,",0,STD (040) Tel: 66105576 27653266 Fax: 30520464,500044.0,Vidyanagar
81,Abhaya Emergency Centre,SOUTH,Andhra Pradesh,Rajahmundry,"79-1-4/1, Jn Road Rajahmundary 533103 Dist East Godavari Andhra Pradesh",Dr. Reddy NLS prasad - Managing Director,STD(0883) Tel: 2461640 2423208 Fax:,533103.0,JN Road
82,Abhaya Eye Hospital,SOUTH,Karnataka,Bengaluru,"No. 77, 100 Feet Ring Road, Bsk, 3Rd Stage, 5Th Block, Bengaluru",,,560085.0,Ring Road
83,Abhaya Hospital,SOUTH,Karnataka,Bengaluru,"17, Dr. Mh Marigowda Road Opp Park Area Wilson Garden Bangalore 560027 Dist Bangalore Karnataka",Dr. A Sathish - Medical Director,STD(080) Tel: 26563865 26564586 Fax: 26566767,560027.0,Wilson Garden
84,Abhayahasta Multispeciality Hospital,SOUTH,Karnataka,Bengaluru,"#347/247, 2nd Cross, Kaggadasapura Main Road, C.V. Raman Nagar, Bangalore 560093 Dist Bangalore Karnataka",0,Std (080) : Tel: 46565200 Fax: 0,560093.0,Kaggadasapura
85,Abhi SK Hospital,SOUTH,Tamil Nadu,Erode,"153, Sathy Main Road, Nallagoundenpalayam, Nallagoundenpalayam, 638453 Dist Erode Tamil Nadu",Mrs. Uma,STD (04285) Tel: 240130 240131 Fax: 240130,638453.0,Nallagoundenpalayam
86,Abhijay Hospital Pvt Ltd,SOUTH,Tamil Nadu,Chennai,"22/2, Esi Hospital Road Peravalore Chennai Chennai 600011 Dist Chennai Tamil Nadu",Dr. Lakshmanan Saravanan -,STD(044) Tel: 49015050 (30 lines) Fax: 42789880,600011.0,Peravallur
87,Abhilash Netra Vidyasala,SOUTH,Andhra Pradesh,Proddatur,"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360 Dist Kadapa Andhra Pradesh",Dr. S Gurumurthy - medical Officer,STD(08564) Tel: 254157 Fax:,516360.0,Opp: Iswarya Complex
88,Abhilasha Eye Hospital,NORTH,Uttaranchal,Roorkee,"Railway Station Road, City: Roorkee, Dist: Haridwar, State: Uttarakhand - 247667",Dr. C. S. Grover - MD,"STD: 01332, Tel: 272586, Fax: 274742, Mob: 9760007001",247667.0,Roorkee
89,Abhinav Dristi Eye Hospital,NORTH,Uttar Pradesh,Lucknow,"B-719,SEC-C,MAHANAGAR-LKO CHANNILAL CHAURAHA UTTAR PRADESH LUCKNOW 226006",Dr. Hemant. Kumar - Managing Director,STD(0522) Tel: 2335122 2332525 Fax: 2335144,226006.0,Near Channi Lal Crossing
90,Abhinav Multispeciality Hospital,WEST,Maharashtra,Nagpur,"Kamal Chowk, Naya Naleasha, Nagpur 440017 Dist Nagpur Maharashtra",Dr. Sudhir Bhatnayar,STD(0712) Tel: 2641715 Fax: 2631706,440017.0,Naya Naleasha
91,Abhishek Hospital,NORTH,Rajasthan,Jaipur,"3-B-Iiird, Nayab Ji Ka Bagh, Nayab Ji Ka Bagh, Nayab Ji Ka Bagh, 302004 Dist Jaipur Rajasthan",Prateek Patel,STD (0141) Tel: 2625110 4048059 Fax: 2625110,302004.0,Near Dharam Singh Circle Moti Doongri Road
92,Abhishek Nethradhama,SOUTH,Karnataka,Bengaluru,"Hig 2024, 3rd B Cross, Icici Bank Road, Near Sbi, Yelahanka New Town Bangalore 560064 Dist Bangalore Karnataka",Ms M G Keerthi,STD(080) Tel: 40933219 Fax: 40933219,560064.0,Yelahanka New Town
93,Abhishek Nursing Home,WEST,Maharashtra,Thane,"Jagruti Co-Op.Hsg. Near Maratha Mandir Co-Op Bank,Bhatwadi Ghatkopar Mumbai 400084 Dist Mumbai Maharashtra",Dr. Neelam A Lokhande - Director,STD(022) Tel: 25106577 25106518 Fax: 25125138,400084.0,Ghatkopar
94,Abhiyog Hospital,WEST,Maharashtra,Nagpur,"481, Nagar, Sakardara Tiranga Chowk, Nagpur 440009 Dist Nagpur Maharashtra",Dr. Yogesh,STD (0712) Tel: 2740988 Fax: 2740988,440009.0,Sakardara Tiranga Chowk
95,Abhyudaya Maternity Home,WEST,Maharashtra,Mumbai,"Prerna Building No:1, Octroi Naka, Virat Nagar, Virar[W], City: Mumbai, Dist: Mumbai, State: Maharashtra - 401303",...,STD (0250) Tel: 2503737 Fax: 0 Mob: 8422968038,401303.0,Virar W
96,Abinand Hospital,SOUTH,Tamil Nadu,Coimbatore,"237, Pollachi Main Road Sundarapuram Coimbatore Coimbatore 641024 Dist Coimbatore Tamil Nadu",Dr. S Subramanian - Owner,STD(0422) Tel: 2673810 Fax: 2673831 M: 9443295098,641024.0,Sundarapuram
97,Abrol Medical Centre,NORTH,Punjab,Gurdaspur,"Kailash Avenue, Batala Road, Gurdaspur 143521 Dist Gurdaspur Punjab",Mr. M M Mangal,STD(01874) Tel: 83262 Fax: 500301,143521.0,Batala Road
98,AC Hospitals,SOUTH,Tamil Nadu,Salem,201 Second Agraharam Salem Salem 636001 Dist Salem Tamil Nadu,Mr. A Challappan - Owner,STD(0427) Tel: 2260577 2267957 Fax: 2265052 Mobile : 9944007912,636001.0,2nd Agraharam
99,Acchutha Eye Care,SOUTH,Tamil Nadu,Erode,"#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, City: Erode, Dist: Coimbatore, State: Tamil Nadu - 638009",Siva - Insurance Co-ordinator,STD (0) Tel: 0 Fax: 0 Mob: 9629915854,638009.0,Permar Nagar
